Y,Timestamp,X,Page,Interaction Type
412.5,1525034350789,226,magnetbox,touch
393.5,1525034369532,237,magnetbox,touch
395,1525034374582,500.5,magnetbox,touch
406,1525034384587,727,magnetbox,touch
658.5,1525034396607,238.5,magnetbox,touch
645,1525034405805,472.5,magnetbox,touch
614.5,1525034413398,720,magnetbox,touch
893,1525034420895,232,magnetbox,touch
925.5,1525034430468,450.5,magnetbox,touch
898,1525034441201,730,magnetbox,touch
338.5,1525039178235,242,magnetbox,touch
338.5,1525039183547,502.5,magnetbox,touch
353.5,1525039193805,766.5,magnetbox,touch
644,1525039199425,214,magnetbox,touch
654.5,1525039219484,465.5,magnetbox,touch
600,1525039227462,669,magnetbox,touch
892,1525039232213,237,magnetbox,touch
866.5,1525039238634,463.5,magnetbox,touch
887,1525039257913,729,magnetbox,touch
387.5,1525039282683,233.5,magnetbox,touch
387,1525039296338,475,magnetbox,touch
392.5,1525039323849,729,magnetbox,touch
659,1525039329782,225,magnetbox,touch
637,1525039337556,434.5,magnetbox,touch
656.5,1525039352110,666,magnetbox,touch
860,1525039357173,241,magnetbox,touch
924.5,1525039368933,480,magnetbox,touch
869,1525039376500,698.5,magnetbox,touch
367.5,1525046464128,193.5,magnetbox,touch
389.5,1525046469447,455,magnetbox,touch
384,1525046483024,692.5,magnetbox,touch
640.5,1525046493477,216.5,magnetbox,touch
633,1525046517957,448.5,magnetbox,touch
624,1525046519817,708.5,magnetbox,touch
892.5,1525046528535,214.5,magnetbox,touch
881,1525046546327,455.5,magnetbox,touch
930.5,1525046562458,704.5,magnetbox,touch
365,1525046569372,217.5,magnetbox,touch
360,1525046575691,458.5,magnetbox,touch
393.5,1525046584386,703.5,magnetbox,touch
654,1525046610419,216.5,magnetbox,touch
631.5,1525046619023,455.5,magnetbox,touch
645,1525046629082,705,magnetbox,touch
879.5,1525046643179,201.5,magnetbox,touch
878,1525046658812,456.5,magnetbox,touch
888,1525046661953,697.5,magnetbox,touch
365,1525050754648,208.5,magnetbox,touch
389,1525050758830,460,magnetbox,touch
397.5,1525050768564,715,magnetbox,touch
632,1525050788215,230.5,magnetbox,touch
653.5,1525050794084,458.5,magnetbox,touch
656.5,1525050801608,717.5,magnetbox,touch
901.5,1525050807670,213.5,magnetbox,touch
885.5,1525050825331,469,magnetbox,touch
897,1525050836355,710.5,magnetbox,touch
408,1525050844617,226,magnetbox,touch
397.5,1525050854089,458,magnetbox,touch
396,1525050859727,710.5,magnetbox,touch
599.5,1525050879866,230.5,magnetbox,touch
602.5,1525050886045,445.5,magnetbox,touch
631,1525050893492,721,magnetbox,touch
882.5,1525050905384,184,magnetbox,touch
881,1525050912206,463,magnetbox,touch
912,1525050924837,707,magnetbox,touch
379,1525221203493,212,magnetbox,touch
406.5,1525221215900,454.5,magnetbox,touch
377,1525221230427,696,magnetbox,touch
610.5,1525221245695,195.5,magnetbox,touch
610,1525221248518,464.5,magnetbox,touch
619,1525221277902,706.5,magnetbox,touch
930,1525221288145,205,magnetbox,touch
885,1525221294131,459.5,magnetbox,touch
922,1525221304049,729,magnetbox,touch
386,1525221321136,193,magnetbox,touch
376.5,1525221334493,445.5,magnetbox,touch
376.5,1525221355407,690,magnetbox,touch
641.5,1525221364652,199,magnetbox,touch
616.5,1525221372468,445.5,magnetbox,touch
638.5,1525221378669,692.5,magnetbox,touch
900,1525221390952,172,magnetbox,touch
884.5,1525221394611,470.5,magnetbox,touch
916,1525221403932,718,magnetbox,touch
405.5,1525225586309,208,magnetbox,touch
410,1525225589186,454.5,magnetbox,touch
376.5,1525225596833,727,magnetbox,touch
643,1525225610593,218,magnetbox,touch
